Date,baa,baa_flag,AAPL,ORCL,MSFT,IBM
1986-03-14,-0.05647034648806083,1.0,0.05406343643430463,0.0350944814038397,0.03508903418803194,-0.0008307217569076987
1986-03-17,-0.05647034648806083,1.0,-0.0047956616951350195,-0.02326897304799535,0.017103275924512152,0.003319658716208396
1986-03-18,-0.05647034648806083,1.0,0.03310645674987031,-0.023807646824836184,-0.02576127307254742,0.00989261697438272
1986-03-19,-0.05647034648806083,1.0,-0.01405113902333172,-0.024387854169937336,-0.01754230150355051,-0.004934300502934934
1986-03-20,-0.05647034648806083,1.0,0.0639446070512651,0.0,-0.026906356655233128,-0.0099420977275831
1986-03-21,-0.05647034648806083,1.0,-0.022370526147062097,-0.03774324554128605,-0.02764984598844715,-0.007521791985253797
1986-03-24,-0.05647034648806083,1.0,-0.03218467055207464,0.0,-0.02843554207327276,-0.0008398518012567461
1986-03-25,-0.05647034648806083,1.0,0.04119297537010219,0.0,0.019046850712619294,-0.005894493846194544
1986-03-26,-0.05647034648806083,1.0,0.013362221329034517,0.012745340988132606,0.027906928962310073,-0.002536886846367956
1986-03-27,-0.05647034648806083,1.0,0.0,0.03727389792194691,0.018181029518274834,0.010109998334636213
1986-03-31,-0.05647034648806083,1.0,0.0,0.012111860801143908,-0.009049421131484218,0.01580041818270477
1986-04-01,-0.02996840992884434,0.0,-0.03603743109764416,-0.04938575872309084,-0.009131608386790549,-0.015800418182704796
1986-04-02,-0.02996840992884434,0.0,0.0,-0.012745340988132525,0.009131608386790639,0.012494551275694344
1986-04-03,-0.02996840992884434,0.0,-0.00921593917482092,0.037743245541285914,0.009049421131484136,-0.009147417366306908
1986-04-04,-0.02996840992884434,0.0,-0.009301826426671739,-0.012429022799119484,0.0,-0.009232785972418438
1986-04-07,-0.02996840992884434,0.0,0.018517765601492504,0.012429022799119494,-0.01818102951827472,0.008396824071782976
1986-04-08,-0.02996840992884434,0.0,0.013666904950582032,0.0,0.009131608386790639,0.01658422032507001
1986-04-09,-0.02996840992884434,0.0,-0.01826401665153879,0.0,0.018017621118786922,-0.018258167372286905
1986-04-10,-0.02996840992884434,0.0,0.004597111700956667,0.0,0.008888735536446113,0.006678435624075251
1986-04-11,-0.02996840992884434,0.0,-0.00921593917482092,0.02438785416993748,0.017542301503550493,-0.003333263024218056
1986-04-14,-0.02996840992884434,0.0,-0.004640097755468255,0.0,0.008657997148035251,0.017377026813562856
1986-04-15,-0.02996840992884434,0.0,0.018432271219644938,0.011982138468991795,0.0,0.0016391228035304796
1986-04-16,-0.02996840992884434,0.0,0.03146119680828847,0.04651415283403367,0.03390965069580186,0.013826812339230039
1986-04-17,-0.02996840992884434,0.0,0.026200663150464175,0.08701411985348266,0.008298148659961683,-0.0008077511025395188
1986-04-18,-0.02996840992884434,0.0,0.02553937710233806,0.08004491202310167,-0.033614892107843124,-0.013019061236690518
1986-04-21,-0.02996840992884434,0.0,0.020789068626026284,0.09180628173993916,0.0,0.01463479242353828
1986-04-22,-0.02996840992884434,0.0,-0.016596594675292915,-0.054071426336272384,-0.017250904395955842,-0.012180243129243038
1986-04-23,-0.02996840992884434,0.0,-0.008410476658710586,-0.028160982940279487,0.00433833811032912,0.01459793032461103
1986-04-24,-0.02996840992884434,0.0,0.057396445236649156,0.018865753076025508,0.09492095743133687,0.015182349094952731
